,Month,ArrDelay,DepDelay,AirTime,Month_N
0,1,42.54460966542751,43.43669363656243,107.6277607697354,Gen
1,2,44.899533453504404,44.76778708514473,106.87965221079419,Feb
2,3,42.147811313212074,43.07435538676794,108.92244653208076,Mar
3,4,39.322263858379635,40.267799457294224,109.44314510918723,Apr
4,5,37.683517778796414,39.28223430030777,109.87918276471744,May
5,6,46.246085346940816,45.45875231377258,109.72569913452399,Jun
6,7,45.81500795959818,46.65559642092551,108.9253993522534,Jul
7,8,41.10588380564302,43.41217509415324,110.60801382972156,Aug
8,9,35.702286073825505,38.75943791946309,105.77558724832215,Sep
9,10,32.13578212831944,35.55921690250049,105.58625702655553,Oct
10,11,37.300551645425145,39.79417918965189,106.66340117937987,Nov
11,12,49.81881792466875,49.14937223959109,108.86353034588853,Dec
